{0.001, 1.9999979996974805*^-9, 2.000002000251642*^-9}
{0.011, 2.6629047966215362*^-6, 2.6626178516311054*^-6}
{0.021, 0.000018506348942835014, 0.00001852271297500221}
{0.031, 0.00005952520966365709, 0.000059631682290741645}
{0.041, 0.00013760732735120296, 0.0001380728243728115}
{0.051000000000000004, 0.0002645952589346072, 0.00026598049500630176}
{0.061, 0.00045222504170959054, 0.00045563676216190795}
{0.07100000000000001, 0.0007120677495969567, 0.0007193811181139823}
{0.081, 0.00105556081555265, 0.001069749514510533}
{0.091, 0.0014938763029678642, 0.0015193817013959964}
{0.101, 0.0020379535322922198, 0.00208111913969892}
{0.111, 0.00269840315940129, 0.0027679886632577966}
{0.121, 0.003485478207507763, 0.0035931816189154263}
{0.131, 0.00440898063982, 0.004570154889617608}
{0.14100000000000001, 0.005478183292828459, 0.0057125378958321725}
{0.151, 0.006701814869895267, 0.00703416779206388}
{0.161, 0.008087845928363325, 0.008549093123788388}
{0.171, 0.00964351522464273, 0.010271565406050896}
{0.181, 0.011375160346429845, 0.012216010908827835}
{0.191, 0.013288110725734745, 0.014397018094329974}
{0.201, 0.015386584805134006, 0.01682929539770099}
{0.211, 0.017673551903631225, 0.01952764553645534}
{0.221, 0.020150608823943886, 0.02250691571193169}
{0.231, 0.022817860907587674, 0.025781940053939183}
{0.241, 0.025673788971112547, 0.029367481049573128}
{0.251, 0.02871513580119364, 0.0332781562446525}
{0.261, 0.03193679392992812, 0.03752835481140667}
{0.271, 0.035331714396882964, 0.04213215497633284}
{0.281, 0.03889082474487294, 0.04710322279035494}
{0.291, 0.0426029816013415, 0.05245472119578979}
{0.301, 0.04645493902550452, 0.05819918139499196}
{0.311, 0.050431352100535336, 0.0643484172719887}
{0.321, 0.054514810124014164, 0.07091340098906224}
{0.331, 0.0586859275807226, 0.07790415981904265}
{0.341, 0.0629234435411822, 0.08532966792444724}
{0.35100000000000003, 0.06720437108886153, 0.09319774557792153}
{0.361, 0.07150421103294476, 0.1015149800504041}
{0.371, 0.07579714750128208, 0.11028663152386883}
{0.381, 0.08005632243556801, 0.1195165812008425}
{0.391, 0.08425410746224515, 0.12920727545592928}
{0.401, 0.08836240051962525, 0.13935971279568643}
{0.41100000000000003, 0.09235293713421135, 0.14997339532161597}
{0.421, 0.09619759274297676, 0.16104637123755033}
{0.431, 0.09986868579532007, 0.17257524137254157}
{0.441, 0.10333926576407983, 0.18455520947867682}
{0.451, 0.1065833574302539, 0.1969801231372212}
{0.461, 0.10957623837369916, 0.20984257982563828}
{0.47100000000000003, 0.11229458176899779, 0.2231339839295691}
{0.481, 0.11471666342097696, 0.23684465663601745}
{0.491, 0.11682246459961175, 0.2509639323838504}
